qd,s_data
33.201,0.994338509752296
33.301,0.9864987054661706
33.400999999999996,0.978974366049255
33.501,0.9718257679013839
33.601,0.9651064193394795
33.701,0.9588632469695909
33.801,0.9531368555784512
33.900999999999996,0.9479618354077954
34.001,0.9433670940804465
34.101,0.939376193997464
34.201,0.9360076795152943
34.301,0.9332753815046296
34.400999999999996,0.9311886899103137
34.501,0.9297527876427634
34.601,0.9289688415390818
34.701,0.9288341482643407
34.801,0.9293422349230507
34.900999999999996,0.9304829158683946
35.001,0.9322423087839046
35.101,0.9346028146167493
35.201,0.9375430674027094
35.301,0.9410378614669711
35.400999999999996,0.9450580649227229
35.501,0.9495705298125338
35.601,0.9545380106150038
35.701,0.9599191041164119
35.801,0.9656682247440479
35.900999999999996,0.9717356302701455
36.001,0.9780675131968564
36.101,0.9846061729819316
36.201,0.9912902834142823
36.301,0.9980552677583481
36.400999999999996,1.0048337916410441
36.501,1.0115563799847536
36.601,1.0181521595905314
36.701,1.024549723330462
36.801,1.0306781055024392
36.900999999999996,1.0364678510305558
37.001,1.04185215426168
37.101,1.0467680366031524
37.201,1.0511575267099358
37.301,1.0549688029080377
37.400999999999996,1.0581572555250627
37.501,1.0606864271606322
37.601,1.0625287918659474
37.701,1.063666339692441
37.801,1.064090940857557
37.900999999999996,1.0638044733791436
38.001,1.0628187087813832
38.101,1.0611549615882743
38.201,1.0588435189732313
38.301,1.0559228763551474
38.401,1.0524388122847232
38.501,1.048443341205368
38.601,1.0439935853836082
38.701,1.0391506074991097
38.801,1.0339782432865472
38.901,1.0285419696162672
39.001,1.0229078379785936
39.101,1.0171414970324792
39.201,1.0113073212155925
39.301,1.0054676558549422
39.401,0.9996821831420757
39.501,0.9940074080182962
39.601,0.9884962586215719
39.701,0.9831977925494656
39.801,0.9781569977825595
39.901,0.9734146756204483
40.001,0.9690073922965573
40.101,0.9649674859256272
40.201,0.9613231159588396
40.301,0.9580983432415591
40.401,0.9553132299662864
40.501,0.9529839501855546
40.601,0.9511229030132774
40.701,0.9497388221356641
40.801,0.9488368767297083
40.901,0.9484187603197484
41.001,0.9484827654744366
41.101,0.9490238435507389
41.201,0.9500336499271668
41.301,0.9515005763371637
41.401,0.9534097730168839
41.501,0.9557431644186244
41.601,0.958479463205856
41.701,0.9615941881257616
41.801,0.9650596921298875
41.901,0.9688452077540316
42.001,0.9729169172372771
42.101,0.9772380551121783
42.201,0.9817690509829385
42.301,0.9864677198733518
42.401,0.9912895068206576
42.501,0.9961877912726901
42.601,1.0011142552854662
42.701,1.006019317509976
42.801,1.0108526325221292
42.901,1.0155636522448148
43.001,1.0201022431303657
43.101,1.0244193495492124
43.201,1.0284676906360282
43.301,1.032202474876399
43.401,1.0355821141889652
43.501,1.0385689173829993
43.601,1.0411297418416958
43.701,1.0432365822477614
43.801,1.044867076220251
43.901,1.0460049088842875
44.001,1.0466401015787394
44.101,1.0467691739674645
44.201,1.0463951735292516
44.301,1.0455275714753096
44.401,1.0441820292642974
44.501,1.0423800447334368
44.601,1.0401484911456467
44.701,1.0375190659236855
44.801,1.034527668330474
44.901,1.0312137267693806
45.001,1.0276194967124836
45.101,1.0237893495890664
45.201,1.0197690714150753
45.301,1.0156051876965635
45.401,1.0113443284012915
45.501,1.0070326437731467
45.601,1.0027152786628142
45.701,0.9984359100392365
45.801,0.9942363495703074
45.901,0.9901562107207538
46.001,0.9862326377752447
46.101,0.9825000925857043
46.201,0.9789901936643473
46.301,0.9757316014757721
46.401,0.9727499433838184
46.501,0.9700677716330234
46.601,0.9677045479370622
46.701,0.9656766486540314
46.801,0.9639973851004962
46.901,0.9626770342477013
47.001,0.961722875815543
47.101,0.961139232600604
47.201,0.9609275117180692
47.301,0.9610862452832173
47.401,0.9616111298905395
47.501,0.962495065054456
47.601,0.9637281915439333
47.701,0.9652979312634782
47.801,0.9671890309936316
47.901,0.9693836128923441
48.001,0.9718612351593264
48.101,0.9745989666608642
48.201,0.9775714795824012
48.301,0.9807511642981923
48.401,0.9841082705982924
48.501,0.9876110791705137
48.601,0.9912261067788455
48.701,0.994918347895451
48.801,0.9986515546239795
48.901,1.0023885556016385
49.001,1.0060916132038782
49.101,1.0097228168320365
49.201,1.0132445083911534
49.301,1.0166197343297287
49.401,1.019812716898032
49.501,1.022789335681265
49.601,1.0255176090795977
49.701,1.0279681643398424
49.801,1.0301146840860942
49.901,1.031934317124997
50.001,1.0334080416665752
50.101,1.0345209700232774
50.201,1.0352625853114692
50.301,1.0356269026269953
50.401,1.035612549510157
50.501,1.035222763136042
50.601,1.0344653044230399
50.701,1.0333522919944131
50.801,1.031899961505593
50.901,1.0301283581271947
51.001,1.0280609718382205
51.101,1.0257243265544413
51.201,1.023147534948597
51.301,1.0203618311038845
51.401,1.017400092907123
51.501,1.0142963653895647
51.601,1.0110853951406915
51.701,1.007802184547063
51.801,1.0044815730438563
51.901,1.0011578509092307
52.001,0.9978644094709985
