theta_a,p_theta,prob
0.7082748968514062,1.1655788751643537,0.0036691159964409577
0.7114227852818569,1.172561878651897,0.003691097734738793
0.7145706737123076,1.1795391957312789,0.0037130615728399176
0.7177185621427583,1.1865095921614812,0.003735003625487349
0.720866450573209,1.1934717951728693,0.0037569198861401956
0.7240143390036597,1.2004244925978964,0.003778806224237207
0.7271622274341104,1.2073663319893269,0.003800658382421036
0.7303101158645611,1.214295919726197,0.003822471973723904
0.7334580042950117,1.221211820107755,0.003844242478715416
0.7366058927254625,1.2281125544356601,0.003865965242613428
0.7397537811559132,1.234996600084766,0.003887635472358972
0.7429016695863638,1.241862389562839,0.00390924823365635
0.7460495580168146,1.2487083095596188,0.003930798447979681
0.7491974464472653,1.2555326999856418,0.003952280889547224
0.7523453348777159,1.2623338530013481,0.003973690182265103
0.7554932233081666,1.2691100120369712,0.003995020796642038
0.7586411117386174,1.275859370803827,0.004016267046676982
0.761789000169068,1.2825800722976348,0.004037423086721683
0.7649368885995187,1.2892702077945688,0.004058482908320369
0.7680847770299695,1.2959278158408067,0.00407944033702895
0.7712326654604201,1.3025508812364053,0.004100289029216374
0.7743805538908708,1.3091373340143873,0.0041210224688508984
0.7775284423213215,1.315685048416025,0.004141633964274396
0.7806763307517722,1.3221918418633478,0.004162116644967921
0.7838242191822229,1.3286554739300063,0.004182463458312098
0.7869721076126736,1.3350736453117016,0.004202667166346149
0.7901199960431243,1.3414439967974772,0.004222720342529626
0.793267884473575,1.3477641082432625,0.004242615368511245
0.7964157729040257,1.3540314975491565,0.004262344430909477
0.7995636613344763,1.3602436196420555,0.004281899518109977
0.8027115497649271,1.3663978654653135,0.0043012724170851425
0.8058594381953778,1.3724915609772586,0.00432045471024155
0.8090073266258284,1.3785219661605055,0.00433943777230138
0.8121552150562792,1.384486274044119,0.004358212767224293
0.8153031034867299,1.3903816097408261,0.004376770645176677
0.8184509919171805,1.3962050295016113,0.004395102139555618
0.8215988803476312,1.4019535197901682,0.0044131977640753705
0.824746768778082,1.4076239963798372,0.004431047809924618
0.8278946572085326,1.413213303475815,0.004448642343003284
0.8310425456389833,1.418718212865595,0.004465971201248207
0.834190434069434,1.4241354231007544,0.004483023992057499
0.8373383224998847,1.4294615587133928,0.004499790089823975
0.8404862109303354,1.4346931694707286,0.004516258633588709
0.843634099360786,1.4398267296715328,0.004532418524826278
0.8467819877912368,1.4448586374882981,0.004548258425373983
0.8499298762216875,1.4497852143592433,0.004563766755517949
0.8530777646521381,1.4546027044345013,0.004578931692249779
0.8562256530825889,1.4593072740810258,0.004593741167708056
0.8593735415130396,1.463895011451031,0.004608182867819842
0.8625214299434902,1.4683619261190044,0.004622244231158026
0.8656693183739409,1.4727039487925973,0.004635912448031245
0.8688172068043917,1.4769169311029584,0.004649174459823874
0.8719650952348423,1.480996645480359,0.004662016958604507
0.875112983665293,1.484938785121247,0.004674426387022252
0.8782608720957438,1.4887389640531299,0.004686388938510964
0.8814087605261944,1.4923927173040439,0.0046978905578227296
0.8845566489566451,1.4958955011836292,0.0047089169419126525
0.8877045373870958,1.4992426936831773,0.004719453541198159
0.8908524258175465,1.5024295950023436,0.004729485561217039
0.8940003142479972,1.505451428210559,0.00473899796470949
0.8971482026784479,1.5083033400515113,0.004747975474150541
0.9002960911088986,1.5109804018994362,0.004756402574760354
0.9034439795393493,1.5134776108763075,0.004764263518021017
0.9065918679698,1.515789891139403,0.00477154232572966
0.9097397564002506,1.5179120953490677,0.004778222794618818
0.9128876448307014,1.519839006326923,0.0047842885015762894
0.9160355332611521,1.5215653389151018,0.004789722809497812
0.9191834216916027,1.5230857420475277,0.004794508873807219
0.9223313101220535,1.5243948010446173,0.004798629649679919
0.9254791985525042,1.5254870401431908,0.0048020679000067784
0.9286270869829548,1.5263569252737597,0.004804806204136721
0.9317749754134055,1.5269988670977679,0.004806826967437635
0.9349228638438563,1.5274072243177246,0.0048081124317163135
0.9380707522743069,1.52757630727357,0.00480864468653942
0.9412186407047576,1.5275003818389812,0.004808405681498644
0.9443665291352084,1.5271736736316723,0.004807377239464263
0.947514417565659,1.5265903725521297,0.0048055410708725925
0.9506623059961097,1.5257446376655026,0.004802878789093649
0.9538101944265603,1.5246306024417389,0.004799371926926527
0.9569580828570111,1.5232423803692976,0.0047950019542707615
0.9601059712874618,1.5215740709580627,0.004789750297022845
0.9632538597179124,1.5196197661472954,0.004783598357247773
0.9664017481483632,1.517373557134667,0.004776527534676093
0.9695496365788139,1.5148295416425617,0.004768519249577446
0.9726975250092645,1.511981831637941,0.004759554967061854
0.9758454134397152,1.5088245615221134,0.004749616222860236
0.978993301870166,1.5053518968067505,0.004738684650635562
0.9821411903006166,1.501558043292413,0.0047267420108758566
0.9852890787310673,1.4974372567656862,0.004713770221419738
0.9884369671615181,1.4929838532308202,0.004699751389664505
0.9915848555919687,1.4881922196914048,0.004684667846505683
0.9947327440224194,1.4830568254972427,0.0046685021820557565
0.9978806324528701,1.4775722342709763,0.004651237283187891
1.0010285208833207,1.471733116428432,0.004632856372948622
