wvls,R,T
696,0.6022710226222878,0.2987023795047988
697,0.6010988803512443,0.2998369316530253
698,0.5985457781456716,0.3022354471308929
699,0.5974027620966542,0.30334806454838936
700,0.5942879981576653,0.30623263322198563
701,0.594082983714538,0.3064222934155637
702,0.5921787967756027,0.30826307460323576
703,0.5908205336417744,0.30943941841625666
704,0.5895208833050953,0.31050575881972453
705,0.5880925813976374,0.31178090329369457
706,0.5861565773829827,0.31362675239245263
707,0.5837193836911893,0.3160847318664728
708,0.5824980550385768,0.3169980608092785
709,0.5802500113835762,0.3191444151262951
710,0.5778404698304009,0.3215734120618785
711,0.5782004018949289,0.3210830233626173
712,0.5752944576357685,0.32388489667808873
713,0.5733762803142444,0.3255342675000449
714,0.5717056196442339,0.32711888162208613
715,0.5700843197469091,0.32862683117827296
716,0.5678984562160971,0.3305371542136816
717,0.5670613398442359,0.33135521635840925
718,0.5651130341413731,0.3332017185376376
719,0.5636911728593705,0.33451180447597395
720,0.5624658983525276,0.33566395109969904
721,0.5606261906602127,0.3371248054454408
722,0.5594799696740247,0.33823924650535636
723,0.5578821912071409,0.33972018261295106
724,0.5579502304928773,0.33949157418629194
725,0.5558223961613522,0.3413387236362663
726,0.5537132504074158,0.3435342761458472
727,0.5534144861083409,0.3436490036649973
728,0.551596544084379,0.34530029777931415
729,0.5506847563855444,0.34602416458050533
730,0.5498602364818779,0.34669033829553525
731,0.5487822415205091,0.34759945117957997
732,0.5472586742231142,0.3490167980120796
733,0.5459598414164154,0.350169627603148
734,0.5453746335524081,0.3508096407693147
735,0.5448062168508868,0.35124747235515097
736,0.5433462519611223,0.35252835190683807
737,0.5435964131740021,0.35209610557341087
738,0.5419444125494364,0.35361561552929693
739,0.540775224187205,0.35469863537955293
740,0.5399892958860475,0.35538984465863965
741,0.5374190144720671,0.35770951989410793
742,0.5356891757019479,0.3591971399655068
743,0.5346075546416775,0.3600450303982648
744,0.5332661011970289,0.36124507687942176
745,0.5320093321760828,0.36236620938794545
746,0.5311419846537502,0.36327751503882477
