wvls,l_star,g
655.0,23674.94171106515,-0.36517995287483385
656.0,24022.042112490864,-0.36277852615249534
657.0,24374.03580893709,-0.36035830261616764
658.0,24730.715969329514,-0.3579241096896583
659.0,25091.8861959824,-0.3554803712919376
660.0,25457.341538244316,-0.35303112728791297
661.0,25826.933383817333,-0.350580054168128
662.0,26200.479255846658,-0.34813048619544024
663.0,26577.8304150977,-0.34568543676731506
664.0,26958.821427138497,-0.34324761974788603
665.0,27343.344947889676,-0.3408194702364796
666.0,27731.258659858675,-0.338403164853686
667.0,28122.461406042796,-0.3360006413237556
668.0,28516.832975889516,-0.3336136170444063
669.0,28914.261070629123,-0.3312436069198436
670.0,29314.688449681074,-0.32889193998692423
671.0,29718.001174677724,-0.32655977535596686
672.0,30124.128186018606,-0.3242481167182581
673.0,30533.008125289496,-0.321957826344044
674.0,30944.567708688734,-0.31968963769888586
675.0,31358.76409670437,-0.3174441674329731
676.0,31775.51892733714,-0.3152219261783111
677.0,32194.795350649907,-0.31302332888548184
678.0,32616.53291284482,-0.31084870391432445
679.0,33040.72290966739,-0.30869830170839957
680.0,33467.284716628375,-0.30657230262802637
681.0,33896.2233712119,-0.30447082404445014
682.0,34327.501389888355,-0.3023939269373575
683.0,34761.087425163576,-0.30034162200092174
684.0,35196.95798839282,-0.2983138748974865
685.0,35635.08907933623,-0.2963106113929657
686.0,36075.488300083976,-0.29433172177082706
687.0,36518.09324541485,-0.2923770650135056
688.0,36962.92540668454,-0.2904464725341423
689.0,37409.949032143246,-0.2885397514983402
690.0,37859.179640592585,-0.2866566878791308
691.0,38310.60667721761,-0.28479704936341
692.0,38764.21290115412,-0.28296058774681077
693.0,39219.99803604792,-0.28114704113950817
694.0,39677.95271950627,-0.27935613613830734
695.0,40138.087775459986,-0.27758758966864755
696.0,40600.38535278297,-0.2758411105384753
697.0,41064.84892596658,-0.2741164009546615
698.0,41531.49735871566,-0.2724131579682565
699.0,42000.31802740624,-0.27073107451786815
700.0,42471.326790692845,-0.26906984061386763
701.0,42944.50734117639,-0.26742914429092557
702.0,43419.898665885485,-0.2658086724257956
703.0,43897.44332278109,-0.26420811154394747
704.0,44377.22628103218,-0.2626271484632409
705.0,44859.209103903944,-0.261065470906785
706.0,45343.37089029556,-0.25952276806921437
707.0,45829.78805572614,-0.2579987310754987
708.0,46318.42340922621,-0.25649305334400635
709.0,46809.295144338124,-0.255005430963228
710.0,47302.41956906063,-0.25353556312045716
711.0,47797.813545416386,-0.2520831522563806
712.0,48295.458097113136,-0.2506479043106081
713.0,48795.374138501036,-0.24922952893926054
714.0,49297.58356132337,-0.24782773976528577
715.0,49802.06818314637,-0.24644225434251374
716.0,50308.868639914544,-0.24507279445920402
717.0,50818.02485578977,-0.24371908615644258
718.0,51329.477800892324,-0.24238085982814003
719.0,51843.2626472211,-0.24105785017931525
720.0,52359.43780616076,-0.23974979635790308
721.0,52877.94673406339,-0.23845644205459807
722.0,53398.8412583818,-0.23717753538759787
723.0,53922.13662224861,-0.23591282890108353
724.0,54447.830761801495,-0.23466207972843606
725.0,54975.91231708119,-0.2334250493316167
726.0,55506.43800222449,-0.23220150371720127
727.0,56039.39557879213,-0.2309912132076455
728.0,56574.80220815886,-0.22979395257109275
729.0,57112.69918909786,-0.22860950082355067
730.0,57653.054493351505,-0.2274376412626314
731.0,58195.892722991586,-0.22627816146822902
732.0,58741.24487225614,-0.22513085314192854
733.0,59289.09959758666,-0.22399551219494432
734.0,59839.48953744985,-0.22287193840114264
735.0,60392.3907536925,-0.22175993572380331
736.0,60947.87278453126,-0.22065931197972874
737.0,61505.93068804549,-0.21956987881173912
738.0,62066.53979245532,-0.2184914516457512
739.0,62629.78212338644,-0.21742384976880105
740.0,63195.579592195994,-0.2163668960098426
741.0,63764.037372631516,-0.21532041682894604
742.0,64335.10919137162,-0.21428424221150444
743.0,64908.85989074377,-0.21325820565412612
744.0,65485.20535516377,-0.2122421439477774
745.0,66064.27374158052,-0.21123589721457453
746.0,66646.01712285272,-0.21023930900396298
747.0,67230.41875094264,-0.20925222578698094
748.0,67817.61156346816,-0.20827449739298914
749.0,68407.4387963085,-0.20730597664656722
750.0,69000.07732791288,-0.2063465192088678
751.0,69595.44001646564,-0.2053959838748305
752.0,70193.56757648643,-0.20445423223560025
753.0,70794.45285756173,-0.2035211287144748
754.0,71398.11597935155,-0.202596540411522
755.0,72004.63655761284,-0.201680337130452
756.0,72613.91379990875,-0.20077239132481578
